fnc_transferredpoints|Функция возвращает таблицу TransferredPoints в более человекочитаемом виде. Включает Ник пира 1, Ник пира 2 и количество переданных пир поинтов. Количество отрицательное, если пир 2 получил от пира 1 больше поинтов.
fnc_xp|Функция возвращает таблицу с ником пользователя, названием проверенного задания и количеством полученного XP. Включены только задания, успешно прошедшие проверку.
fnc_not_left_campus|Функция определяет пиров, которые не выходили из кампуса в течение всего дня.
pr_success_checks|Процедура находит процент успешных и неуспешных проверок за всё время.
pr_points_change_1|Процедура подсчитывает изменение в количестве пир поинтов каждого пира по таблице TransferredPoints. Результат выводится отсортированным по изменению числа поинтов.
pr_points_change_2|Процедура подсчитывает изменение в количестве пир поинтов каждого пира по таблице, возвращаемой функцией fnc_transferredpoints. Результат выводится отсортированным по изменению числа поинтов.
pr_frequently_checked|Процедура определяет самое часто проверяемое задание за каждый день. При одинаковом количестве проверок каких-то заданий в определенный день, выводятся все.
pr_duration_last_check|Процедура определяет длительность последней P2P проверки.
pr_completed_block|Процедура находит пиров, выполнивших весь заданный блок задач и дату завершения последнего задания. Результат выводится отсортированным по дате завершения.
pr_recommended|Процедура определяет к какому пиру стоит идти на проверку каждому обучающемуся.
pr_percentage|Процедура определяет процент пиров, которые: Приступили к блоку 1, Приступили к блоку 2, Приступили к обоим, Не приступили ни к одному.
pr_friendscount|Процедура определяет пиров с наибольшим числом друзей.
pr_birthday_success|Процедура определяет процент пиров, которые когда-либо успешно проходили проверку в свой день рождения.
pr_max_xp|Процедура определяет количество XP, полученное в сумме каждым пиром.
pr_tasks_1_2_3|Процедура определяет всех пиров, которые сдали заданные задания 1 и 2, но не сдали задание 3.
pr_prevcount|Процедура подсчитвает количество родительских проектов.
pr_count_lucky_days|Процедура находит "удачные" для проверок дни. День считается "удачным", если в нем есть хотя бы N идущих подряд успешных проверок.
pr_peer_max_count_task|Процедура определяет пира с наибольшим числом выполненных заданий.
pr_peer_max_xp|Процедура определяет пира с наибольшим количеством XP.
pr_peer_max_time_today|Процедура определяет пира, который провел сегодня в кампусе больше всего времени.
pr_peer_come_ealier|Процедура определяет пиров, приходивших раньше заданного времени не менее N раз за всё время.
pr_peer_leave|Процедура определяет пиров, выходивших за последние N дней из кампуса больше M раз.
pr_peer_the_last_arrive_today|Процедура определяет пира, который пришел сегодня последним.
pr_peer_absent_yesterday|Процедура определяет пиров, которые выходили вчера из кампуса больше чем на N минут.
pr_early_entries|Процедура определяет для каждого месяца процент ранних входов (раньше 12:00).
